input,output
PM2.5=126 humidity=27 wind=0.9 AQI=172,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=95 humidity=68 wind=5.0 AQI=132,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=39 humidity=80 wind=2.6 AQI=77,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=208 humidity=76 wind=5.5 AQI=280,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=216 humidity=87 wind=7.2 AQI=288,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=70 humidity=71 wind=6.7 AQI=93,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=298 humidity=76 wind=3.5 AQI=407,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=135 humidity=41 wind=7.0 AQI=161,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=39 humidity=81 wind=4.9 AQI=66,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=169 humidity=64 wind=2.1 AQI=241,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=119 humidity=75 wind=2.2 AQI=181,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=290 humidity=48 wind=6.2 AQI=370,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=213 humidity=73 wind=2.9 AQI=298,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=271 humidity=80 wind=1.4 AQI=385,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=117 humidity=28 wind=0.6 AQI=163,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=196 humidity=46 wind=4.0 AQI=257,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=219 humidity=45 wind=5.5 AQI=279,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=141 humidity=93 wind=4.3 AQI=208,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=297 humidity=76 wind=0.5 AQI=421,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=184 humidity=61 wind=1.3 AQI=263,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=202 humidity=51 wind=5.0 AQI=263,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=250 humidity=31 wind=6.8 AQI=306,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=90 humidity=48 wind=4.8 AQI=117,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=216 humidity=37 wind=3.2 AQI=283,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=130 humidity=38 wind=4.0 AQI=168,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=226 humidity=45 wind=3.1 AQI=300,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=160 humidity=77 wind=5.8 AQI=217,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=166 humidity=73 wind=0.8 AQI=248,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=281 humidity=28 wind=7.4 AQI=342,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=81 humidity=77 wind=6.8 AQI=109,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=253 humidity=21 wind=5.0 AQI=314,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=23 humidity=26 wind=4.5 AQI=20,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=188 humidity=76 wind=2.6 AQI=269,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=228 humidity=47 wind=7.5 AQI=282,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=275 humidity=34 wind=6.8 AQI=340,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=180 humidity=93 wind=6.3 AQI=249,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=212 humidity=66 wind=4.4 AQI=286,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=184 humidity=71 wind=1.3 AQI=268,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=158 humidity=77 wind=3.1 AQI=228,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=248 humidity=66 wind=7.5 AQI=317,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=230 humidity=91 wind=0.8 AQI=340,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=28 humidity=95 wind=1.9 AQI=74,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=299 humidity=64 wind=1.6 AQI=412,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=264 humidity=57 wind=7.8 AQI=332,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=85 humidity=38 wind=2.0 AQI=119,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=242 humidity=46 wind=4.1 AQI=317,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=299 humidity=52 wind=5.7 AQI=386,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=274 humidity=39 wind=4.1 AQI=355,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=120 humidity=54 wind=4.4 AQI=161,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=178 humidity=63 wind=5.0 AQI=237,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=275 humidity=48 wind=4.4 AQI=359,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=94 humidity=82 wind=0.6 AQI=160,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=165 humidity=76 wind=8.0 AQI=212,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=197 humidity=36 wind=6.1 AQI=243,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=185 humidity=64 wind=4.1 AQI=252,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=166 humidity=71 wind=1.9 AQI=241,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=271 humidity=67 wind=2.4 AQI=373,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=94 humidity=91 wind=7.4 AQI=130,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=82 humidity=54 wind=4.3 AQI=112,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=195 humidity=27 wind=3.0 AQI=252,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=142 humidity=81 wind=4.1 AQI=204,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=37 humidity=69 wind=0.8 AQI=78,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=267 humidity=31 wind=7.9 AQI=323,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=273 humidity=53 wind=4.9 AQI=356,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=62 humidity=20 wind=3.8 AQI=71,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=69 humidity=84 wind=7.6 AQI=93,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=77 humidity=85 wind=1.5 AQI=135,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=20 humidity=65 wind=5.3 AQI=32,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=25 humidity=39 wind=7.0 AQI=17,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=54 humidity=86 wind=2.9 AQI=98,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=64 humidity=72 wind=6.6 AQI=86,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=92 humidity=60 wind=2.9 AQI=135,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=261 humidity=72 wind=2.6 AQI=362,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=247 humidity=50 wind=1.1 AQI=340,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=167 humidity=93 wind=7.1 AQI=228,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=102 humidity=49 wind=6.7 AQI=123,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=275 humidity=56 wind=4.2 AQI=364,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=112 humidity=47 wind=5.0 AQI=144,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=76 humidity=21 wind=2.9 AQI=94,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=39 humidity=42 wind=1.7 AQI=63,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=204 humidity=83 wind=3.7 AQI=288,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=253 humidity=24 wind=6.2 AQI=309,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=12 humidity=21 wind=7.9 AQI=-13,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=22 humidity=54 wind=1.5 AQI=48,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=251 humidity=59 wind=7.7 AQI=317,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=139 humidity=49 wind=2.1 AQI=194,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=143 humidity=95 wind=2.7 AQI=219,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=110 humidity=29 wind=6.2 AQI=126,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=108 humidity=76 wind=7.0 AQI=143,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=21 humidity=68 wind=7.5 AQI=23,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=298 humidity=81 wind=1.8 AQI=418,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=178 humidity=59 wind=3.4 AQI=243,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=189 humidity=63 wind=2.4 AQI=265,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=34 humidity=66 wind=3.9 AQI=57,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=275 humidity=84 wind=6.1 AQI=369,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=192 humidity=46 wind=1.1 AQI=267,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=212 humidity=91 wind=7.9 AQI=281,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=84 humidity=92 wind=1.3 AQI=148,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=76 humidity=94 wind=7.6 AQI=107,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=139 humidity=64 wind=5.3 AQI=186,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=215 humidity=64 wind=1.1 AQI=306,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=33 humidity=64 wind=3.5 AQI=57,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=89 humidity=59 wind=1.7 AQI=136,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=131 humidity=73 wind=1.8 AQI=197,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=219 humidity=20 wind=1.3 AQI=288,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=237 humidity=30 wind=7.4 AQI=286,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=78 humidity=24 wind=4.8 AQI=89,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=101 humidity=49 wind=1.5 AQI=148,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=286 humidity=66 wind=6.5 AQI=372,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=157 humidity=70 wind=5.2 AQI=213,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=258 humidity=20 wind=7.1 AQI=309,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=78 humidity=78 wind=3.4 AQI=123,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=101 humidity=41 wind=3.2 AQI=135,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=240 humidity=59 wind=1.7 AQI=333,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=147 humidity=60 wind=0.9 AQI=216,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=189 humidity=25 wind=6.7 AQI=224,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=226 humidity=73 wind=7.5 AQI=292,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=280 humidity=39 wind=1.3 AQI=377,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=146 humidity=29 wind=6.9 AQI=169,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=177 humidity=49 wind=2.3 AQI=243,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=169 humidity=73 wind=7.4 AQI=219,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=70 humidity=64 wind=2.9 AQI=108,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=133 humidity=65 wind=1.1 AQI=199,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=217 humidity=46 wind=2.6 AQI=292,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=132 humidity=24 wind=5.0 AQI=158,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=167 humidity=61 wind=2.4 AQI=235,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=272 humidity=56 wind=5.7 AQI=353,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=165 humidity=70 wind=5.8 AQI=220,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=148 humidity=21 wind=2.9 AQI=188,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=239 humidity=84 wind=5.2 AQI=326,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=48 humidity=43 wind=3.6 AQI=65,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=254 humidity=59 wind=2.4 AQI=347,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=60 humidity=94 wind=1.7 AQI=116,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=57 humidity=75 wind=7.5 AQI=74,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=48 humidity=54 wind=4.0 AQI=69,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=80 humidity=62 wind=6.4 AQI=103,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=266 humidity=33 wind=7.9 AQI=322,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=290 humidity=53 wind=3.3 AQI=387,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=60 humidity=39 wind=0.6 AQI=94,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=165 humidity=87 wind=3.1 AQI=242,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=44 humidity=32 wind=2.2 AQI=62,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=138 humidity=86 wind=6.2 AQI=191,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=188 humidity=40 wind=0.6 AQI=261,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=183 humidity=82 wind=7.6 AQI=240,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=87 humidity=67 wind=4.0 AQI=126,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=19 humidity=79 wind=2.2 AQI=53,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=16 humidity=76 wind=1.1 AQI=53,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=189 humidity=21 wind=2.8 AQI=242,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=48 humidity=74 wind=5.3 AQI=72,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=246 humidity=73 wind=7.9 AQI=316,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=162 humidity=31 wind=3.1 AQI=210,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=155 humidity=56 wind=3.9 AQI=210,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=154 humidity=87 wind=1.8 AQI=234,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=64 humidity=73 wind=6.6 AQI=86,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=226 humidity=59 wind=7.2 AQI=287,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=11 humidity=73 wind=1.0 AQI=45,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=64 humidity=50 wind=1.2 AQI=102,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=273 humidity=64 wind=6.5 AQI=354,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=70 humidity=37 wind=5.0 AQI=84,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=191 humidity=55 wind=2.3 AQI=264,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=269 humidity=82 wind=0.7 AQI=387,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=14 humidity=87 wind=6.0 AQI=31,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=119 humidity=48 wind=4.5 AQI=156,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=137 humidity=49 wind=3.7 AQI=184,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=163 humidity=80 wind=1.6 AQI=243,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=79 humidity=54 wind=0.6 AQI=126,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=268 humidity=24 wind=1.1 AQI=354,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=191 humidity=28 wind=2.2 AQI=251,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=171 humidity=77 wind=4.6 AQI=237,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=263 humidity=39 wind=6.1 AQI=330,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=262 humidity=42 wind=6.2 AQI=330,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=265 humidity=92 wind=2.0 AQI=380,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=226 humidity=40 wind=5.5 AQI=286,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=277 humidity=35 wind=2.2 AQI=366,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=12 humidity=88 wind=6.2 AQI=28,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=61 humidity=64 wind=4.5 AQI=88,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=290 humidity=35 wind=3.0 AQI=379,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=16 humidity=40 wind=5.2 AQI=14,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=11 humidity=70 wind=1.8 AQI=40,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=66 humidity=58 wind=5.1 AQI=89,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=145 humidity=24 wind=2.9 AQI=186,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=256 humidity=39 wind=3.1 AQI=336,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=22 humidity=54 wind=5.0 AQI=30,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=208 humidity=49 wind=0.8 AQI=290,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=63 humidity=58 wind=0.9 AQI=106,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=273 humidity=80 wind=2.0 AQI=384,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=11 humidity=22 wind=4.2 AQI=4,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=89 humidity=20 wind=3.9 AQI=106,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=246 humidity=73 wind=7.9 AQI=316,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=142 humidity=68 wind=2.8 AQI=204,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=228 humidity=67 wind=1.3 AQI=323,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=192 humidity=43 wind=3.2 AQI=255,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=13 humidity=71 wind=0.6 AQI=49,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=109 humidity=40 wind=6.7 AQI=128,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=277 humidity=63 wind=5.2 AQI=365,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=128 humidity=35 wind=4.6 AQI=160,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=270 humidity=31 wind=4.6 AQI=343,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=44 humidity=91 wind=7.5 AQI=65,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=291 humidity=65 wind=5.1 AQI=385,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=220 humidity=27 wind=4.6 AQI=276,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=106 humidity=24 wind=4.4 AQI=127,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=286 humidity=53 wind=4.0 AQI=378,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=96 humidity=29 wind=1.1 AQI=133,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=162 humidity=56 wind=4.3 AQI=217,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=203 humidity=77 wind=4.5 AQI=279,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=259 humidity=61 wind=3.1 AQI=351,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=152 humidity=32 wind=5.2 AQI=187,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=61 humidity=37 wind=1.2 AQI=91,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=175 humidity=62 wind=4.2 AQI=237,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=198 humidity=30 wind=4.3 AQI=250,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=164 humidity=20 wind=5.7 AQI=194,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=48 humidity=93 wind=5.5 AQI=81,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=134 humidity=23 wind=7.3 AQI=149,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=223 humidity=64 wind=5.1 AQI=296,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=86 humidity=72 wind=2.2 AQI=136,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=36 humidity=24 wind=6.9 AQI=24,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=101 humidity=80 wind=3.6 AQI=153,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=171 humidity=53 wind=6.4 AQI=216,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=105 humidity=45 wind=2.6 AQI=146,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=112 humidity=68 wind=1.9 AQI=170,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=133 humidity=87 wind=7.2 AQI=180,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=125 humidity=74 wind=7.6 AQI=161,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=161 humidity=64 wind=3.3 AQI=224,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=110 humidity=69 wind=1.3 AQI=171,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=268 humidity=49 wind=5.0 AQI=347,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=217 humidity=79 wind=6.5 AQI=289,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=249 humidity=71 wind=4.6 AQI=336,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=46 humidity=75 wind=2.6 AQI=84,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=99 humidity=78 wind=2.8 AQI=153,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=86 humidity=65 wind=5.2 AQI=118,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=259 humidity=81 wind=5.0 AQI=352,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=79 humidity=83 wind=0.8 AQI=140,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=72 humidity=23 wind=7.5 AQI=67,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=217 humidity=31 wind=4.5 AQI=275,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=251 humidity=94 wind=4.2 AQI=352,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=45 humidity=52 wind=5.1 AQI=59,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=77 humidity=84 wind=2.0 AQI=132,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=156 humidity=91 wind=5.1 AQI=222,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=181 humidity=28 wind=6.6 AQI=216,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=249 humidity=58 wind=1.5 AQI=345,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=209 humidity=59 wind=3.8 AQI=282,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=219 humidity=43 wind=3.3 AQI=289,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=39 humidity=32 wind=7.6 AQI=28,Air quality is affected because pollution is low and wind helps disperse pollutants.
